news_headline,news_article,news_category,full_text,clean_text
NY's Central Park to get first sculpture honouring women,"The Central Park in New York, US, will get its first sculpture honouring women in over 150 years of its history after a city commission approved it on Monday. The park is already a host to 23 statues of men. The monument will depict women's rights activists Susan B Anthony, Elizabeth Cady Stanton and Sojourner Truth.",travel,"NY's Central Park to get first sculpture honouring women. The Central Park in New York, US, will get its first sculpture honouring women in over 150 years of its history after a city commission approved it on Monday. The park is already a host to 23 statues of men. The monument will depict women's rights activists Susan B Anthony, Elizabeth Cady Stanton and Sojourner Truth.",ny central park get first sculpture honour woman central park new york us get first sculpture honour woman year history city commission approve monday park already host statue man monument depict woman right activist susan b anthony elizabeth cady stanton sojourner truth
Kochi ranked 7th in top 10 cities to visit in 2020: Lonely Planet,"Travel guide Lonely Planet has included Kerala's Kochi among the top 10 cities to visit in 2020. In the recently released 'Best in Travel 2020' top cities, Kochi was ranked seventh. Other cities included in the list are Salzburg (Austria), Washington DC (USA), Cairo (Egypt), Galway (Ireland), Bonn (Germany), La Paz (Bolivia), Vancouver (Canada), Dubai (UAE) and Denver (USA).",travel,"Kochi ranked 7th in top 10 cities to visit in 2020: Lonely Planet. Travel guide Lonely Planet has included Kerala's Kochi among the top 10 cities to visit in 2020. In the recently released 'Best in Travel 2020' top cities, Kochi was ranked seventh. Other cities included in the list are Salzburg (Austria), Washington DC (USA), Cairo (Egypt), Galway (Ireland), Bonn (Germany), La Paz (Bolivia), Vancouver (Canada), Dubai (UAE) and Denver (USA).",kochi rank th top city visit lonely planet travel guide lonely planet include kerala kochi among top city visit recently release good travel top city kochi rank seventh city include list salzburg austria washington dc usa cairo egypt galway ireland bonn germany la paz bolivia vancouver canada dubai uae denver usa
"100% sustainable hotel in Chile runs fully on solar, hydraulic energy",EcoCamp Patagonia in Chile is a fully sustainable geodesic dome hotel which operates completely on environmental-friendly principles. The place uses 40% solar energy and 60% hydraulic energy in its daily operations. Geodesic domes are sphere-like structures consisting of a network of triangles which provide a self-balancing structural framework using minimal materials.,travel,"100% sustainable hotel in Chile runs fully on solar, hydraulic energy. EcoCamp Patagonia in Chile is a fully sustainable geodesic dome hotel which operates completely on environmental-friendly principles. The place uses 40% solar energy and 60% hydraulic energy in its daily operations. Geodesic domes are sphere-like structures consisting of a network of triangles which provide a self-balancing structural framework using minimal materials.",sustainable hotel chile run fully solar hydraulic energy ecocamp patagonia chile fully sustainable geodesic dome hotel operate completely environmental friendly principle place use solar energy hydraulic energy daily operation geodesic dome sphere like structure consist network triangle provide self balance structural framework use minimal material
World's tallest 'crane' hotel is 164-ft high with 3 luxury suites,"Amsterdam's Crane Hotel Faralda is the world's tallest crane hotel at the height of approximately 164 feet with three luxury suites namely Free Spirit, Secret, and Mystique. The rooms are built into the crane, ranging from 114 feet from the ground to 164 feet. The hotel also has a TV Broadcasting studio and an open-air rooftop jacuzzi.",travel,"World's tallest 'crane' hotel is 164-ft high with 3 luxury suites. Amsterdam's Crane Hotel Faralda is the world's tallest crane hotel at the height of approximately 164 feet with three luxury suites namely Free Spirit, Secret, and Mystique. The rooms are built into the crane, ranging from 114 feet from the ground to 164 feet. The hotel also has a TV Broadcasting studio and an open-air rooftop jacuzzi.",world tall crane hotel ft high luxury suite amsterdam crane hotel faralda world tall crane hotel height approximately foot three luxury suite namely free spirit secret mystique room build crane range foot ground foot hotel also tv broadcasting studio open air rooftop jacuzzi
"40-year-old museum in Nashik houses nearly 1,50,000 coins","A museum in Maharashtra's Nashik houses nearly 1,50,000 coins. The Coin Museum was established in 1980 under the Indian Institute of Research in Numismatic Studies (IIRNS). It displays the Indian coinage from the earliest period to modern times with coins, moulds, replicas, photographs and write-ups, and also exhibits dioramas depicting coin minting.",travel,"40-year-old museum in Nashik houses nearly 1,50,000 coins. A museum in Maharashtra's Nashik houses nearly 1,50,000 coins. The Coin Museum was established in 1980 under the Indian Institute of Research in Numismatic Studies (IIRNS). It displays the Indian coinage from the earliest period to modern times with coins, moulds, replicas, photographs and write-ups, and also exhibits dioramas depicting coin minting.",year old museum nashik house nearly coin museum maharashtra nashik house nearly coin coin museum establish indian institute research numismatic study iirn display indian coinage early period modern time coin mould replica photograph write also exhibit diorama depict coin minting
California's Yosemite National Park has a 'firefall',"The natural 'firefall' is one of the most popular spectacles in Yosemite National Park, California. Around the second week of February, the setting Sun hits Horsetail Fall at just the right angle to illuminate the upper reaches of the waterfall. And when conditions are perfect, Horsetail Fall glows orange and red at sunset, giving it a fiery orange-red hue.",travel,"California's Yosemite National Park has a 'firefall'. The natural 'firefall' is one of the most popular spectacles in Yosemite National Park, California. Around the second week of February, the setting Sun hits Horsetail Fall at just the right angle to illuminate the upper reaches of the waterfall. And when conditions are perfect, Horsetail Fall glows orange and red at sunset, giving it a fiery orange-red hue.",california yosemite national park firefall natural firefall one popular spectacle yosemite national park california around second week february set sun hit horsetail fall right angle illuminate upper reach waterfall condition perfect horsetail fall glow orange red sunset give fiery orange red hue
Earth's driest non-polar desert in Chile has a 36-ft tall hand-shaped sculpture,"Chile's Atacama Desert, the driest non-polar desert on Earth, houses a 36-foot-tall solitary sculpture in the shape of a hand, called ""Mano Del Desierto"" or ""Hand of the Desert."" Designed by sculptor Mario Irarrázabal and finished in 1992, the monument is situated 75 kilometres away from nearest city Antofagasta. Irarrázabal earlier built a similar structure on a beach in Uruguay.",travel,"Earth's driest non-polar desert in Chile has a 36-ft tall hand-shaped sculpture. Chile's Atacama Desert, the driest non-polar desert on Earth, houses a 36-foot-tall solitary sculpture in the shape of a hand, called ""Mano Del Desierto"" or ""Hand of the Desert."" Designed by sculptor Mario Irarrázabal and finished in 1992, the monument is situated 75 kilometres away from nearest city Antofagasta. Irarrázabal earlier built a similar structure on a beach in Uruguay.",earth dry non polar desert chile ft tall hand shape sculpture chile atacama desert dry non polar desert earth house foot tall solitary sculpture shape hand call mano del desierto hand desert design sculptor mario irarrazabal finish monument situate kilometre away near city antofagasta irarrazabal earlier build similar structure beach uruguay
Cambodia's Angkor Wat is world's largest religious monument,"Angkor Wat, a 12th-century Hindu temple in Cambodia, is the world's largest religious monument, encompassing an area of 402 acres. Built as a Hindu temple dedicated to Lord Vishnu by King Suryavarman II, it was converted into a Buddhist temple in the 14th century. The temple recreates the image of Mount Meru, the home of the devas in Hindu mythology.",travel,"Cambodia's Angkor Wat is world's largest religious monument. Angkor Wat, a 12th-century Hindu temple in Cambodia, is the world's largest religious monument, encompassing an area of 402 acres. Built as a Hindu temple dedicated to Lord Vishnu by King Suryavarman II, it was converted into a Buddhist temple in the 14th century. The temple recreates the image of Mount Meru, the home of the devas in Hindu mythology.",cambodia angkor wat world large religious monument angkor wat th century hindu temple cambodia world large religious monument encompass area acre build hindu temple dedicate lord vishnu king suryavarman ii convert buddhist temple th century temple recreate image mount meru home devas hindu mythology
Delhi to host the seventh 'North East Festival' from Nov 8,"The seventh edition of the 'North East Festival', that aims to raise awareness about the people, resources and culture of the country's northeast region, will be hosted in New Delhi from November 8-10. The event will witness music and folk dance performances, handicraft exhibitions, various cuisine stalls, handloom fashion shows and art exhibits. The entry for the event is free.",travel,"Delhi to host the seventh 'North East Festival' from Nov 8. The seventh edition of the 'North East Festival', that aims to raise awareness about the people, resources and culture of the country's northeast region, will be hosted in New Delhi from November 8-10. The event will witness music and folk dance performances, handicraft exhibitions, various cuisine stalls, handloom fashion shows and art exhibits. The entry for the event is free.",delhi host seventh north east festival nov seventh edition north east festival aim raise awareness people resource culture country northeast region host new delhi november event witness music folk dance performance handicraft exhibition various cuisine stall handloom fashion show art exhibit entry event free
Gujarat's annual white desert carnival 'Rann Utsav' begins,"The annual white desert carnival of 'Rann Utsav', held by Gujarat Tourism Department in the country's largest salt desert 'Great Rann of Kutch', began from October 28 and will last till February 23. Visited by lakhs of people each year, it celebrates cultural and artistic heritage of Kutch. The activities include folk dance performances, handicraft shopping, star gazing and sightseeing.",travel,"Gujarat's annual white desert carnival 'Rann Utsav' begins. The annual white desert carnival of 'Rann Utsav', held by Gujarat Tourism Department in the country's largest salt desert 'Great Rann of Kutch', began from October 28 and will last till February 23. Visited by lakhs of people each year, it celebrates cultural and artistic heritage of Kutch. The activities include folk dance performances, handicraft shopping, star gazing and sightseeing.",gujarat annual white desert carnival rann utsav begin annual white desert carnival rann utsav hold gujarat tourism department country large salt desert great rann kutch begin october last till february visit lakh people year celebrate cultural artistic heritage kutch activity include folk dance performance handicraft shopping star gazing sightseeing
China's sacred Mount Fanjing is home to rare plant & animal species,"Mount Fanjing, a sacred Chinese Buddhist site located in Guizhou province, rises around 8,430 feet above the sea level and has an 8,888-step climb to the top. Housing almost 3,724 plant species and hundreds of endemic animal species, the isolated landscape is also called the 'Gene Database of China'. Fanjingshan is the world's only habitat of the Guizhou snub-nosed monkey.",travel,"China's sacred Mount Fanjing is home to rare plant & animal species. Mount Fanjing, a sacred Chinese Buddhist site located in Guizhou province, rises around 8,430 feet above the sea level and has an 8,888-step climb to the top. Housing almost 3,724 plant species and hundreds of endemic animal species, the isolated landscape is also called the 'Gene Database of China'. Fanjingshan is the world's only habitat of the Guizhou snub-nosed monkey.",china sacred mount fanjing home rare plant animal specie mount fanjing sacred chinese buddhist site locate guizhou province rise around foot sea level step climb top housing almost plant specie hundred endemic animal specie isolate landscape also call gene database china fanjingshan world habitat guizhou snub nosed monkey
"Turkey's Cappadocia holds 36 underground cities, 'fairy chimneys'","Shaped by volcanic eruptions and erosion, the Cappadocia region in Turkey is known for its cone-shaped rock formations called ""fairy chimneys"" which rise up to 130 feet. The region also houses 36 underground cities with vast networks of human-made caves and tunnels. Cappadocia is famous for its cave churches and wall paintings dating back to the early days of Christianity.",travel,"Turkey's Cappadocia holds 36 underground cities, 'fairy chimneys'. Shaped by volcanic eruptions and erosion, the Cappadocia region in Turkey is known for its cone-shaped rock formations called ""fairy chimneys"" which rise up to 130 feet. The region also houses 36 underground cities with vast networks of human-made caves and tunnels. Cappadocia is famous for its cave churches and wall paintings dating back to the early days of Christianity.",turkey cappadocia hold underground city fairy chimney shape volcanic eruption erosion cappadocia region turkey know cone shape rock formation call fairy chimney rise foot region also house underground city vast network human make cave tunnel cappadocia famous cave church wall painting date back early day christianity
Tonnes of trash on Mt Everest is getting recycled into usable products,"The government of Nepal and mountaineering groups retrieved more than 10 tonnes of trash left behind by the climbers scaling the Mount Everest. The trash, sent to recycling centres in Kathmandu, was moulded into products which are now being used in homes and hotels. Iron trash was sent to rod manufacturing firms and discarded bottles were re-fashioned into household items.",travel,"Tonnes of trash on Mt Everest is getting recycled into usable products. The government of Nepal and mountaineering groups retrieved more than 10 tonnes of trash left behind by the climbers scaling the Mount Everest. The trash, sent to recycling centres in Kathmandu, was moulded into products which are now being used in homes and hotels. Iron trash was sent to rod manufacturing firms and discarded bottles were re-fashioned into household items.",tonne trash mt ever get recycle usable product government nepal mountaineer group retrieve tonne trash leave behind climber scale mount ever trash send recycling centre kathmandu mould product use home hotel iron trash send rod manufacture firm discard bottle fashioned household item
Vintage car museum in TN houses replica of the first car ever built,"The Gedee Car Museum in Tamil Nadu's Coimbatore houses the replica of the first car ever built in the world - 1886 Benz Patent Motorwagen. The museum opened in 2015 and houses over 70 vintage cars including unique British, German, Japanese, French, Spanish and American cars. Coimbatore-based industrialist late GD Naidu's son GD Gopal opened the vintage car museum.",travel,"Vintage car museum in TN houses replica of the first car ever built. The Gedee Car Museum in Tamil Nadu's Coimbatore houses the replica of the first car ever built in the world - 1886 Benz Patent Motorwagen. The museum opened in 2015 and houses over 70 vintage cars including unique British, German, Japanese, French, Spanish and American cars. Coimbatore-based industrialist late GD Naidu's son GD Gopal opened the vintage car museum.",vintage car museum tn house replica first car ever build gedee car museum tamil nadu coimbatore house replica first car ever build world benz patent motorwagen museum open house vintage car include unique british german japanese french spanish american car coimbatore base industrialist late gd naidu son gd gopal open vintage car museum
"Besides Brazil, which countries can Indians visit without a visa?","Besides Brazil, that recently exempted Indian passport holders visiting it from obtaining visas, countries like Dominica, Micronesia, Macau, and Caribbean nations of Jamaica and Grenada also allow visa-free entry to Indians. Other nations like Seychelles and Maldives, that are frequented by tourists on vacations, offer visa-on-arrival. Indians can also travel to Trinidad and Tobago visa-free.",travel,"Besides Brazil, which countries can Indians visit without a visa?. Besides Brazil, that recently exempted Indian passport holders visiting it from obtaining visas, countries like Dominica, Micronesia, Macau, and Caribbean nations of Jamaica and Grenada also allow visa-free entry to Indians. Other nations like Seychelles and Maldives, that are frequented by tourists on vacations, offer visa-on-arrival. Indians can also travel to Trinidad and Tobago visa-free.",besides brazil country indian visit without visa besides brazil recently exempt indian passport holder visit obtain visa country like dominica micronesia macau caribbean nation jamaica grenada also allow visa free entry indian nation like seychelle maldive frequent tourist vacation offer visa arrival indian also travel trinidad tobago visa free
"Rahul-Rohit's tons, Kuldeep's hat-trick help India beat WI by 107 runs","India defeated West Indies by 107 runs in the second ODI in Visakhapatnam on Wednesday to level the three-match series 1-1. The match witnessed Indian openers KL Rahul (102) and Rohit Sharma (159) slam their third and 28th hundreds in ODI cricket, respectively. Further, Chinaman bowler Kuldeep Yadav took his second hat-trick in ODI cricket.",sports,"Rahul-Rohit's tons, Kuldeep's hat-trick help India beat WI by 107 runs. India defeated West Indies by 107 runs in the second ODI in Visakhapatnam on Wednesday to level the three-match series 1-1. The match witnessed Indian openers KL Rahul (102) and Rohit Sharma (159) slam their third and 28th hundreds in ODI cricket, respectively. Further, Chinaman bowler Kuldeep Yadav took his second hat-trick in ODI cricket.",rahul rohit ton kuldeep hat trick help india beat wi run india defeat west indie run second odi visakhapatnam wednesday level three match series match witness indian opener kl rahul rohit sharma slam third th hundred odi cricket respectively chinaman bowler kuldeep yadav take second hat trick odi cricket
Kuldeep Yadav becomes first Indian to take two hat-tricks in international cricket,"India Chinaman Kuldeep Yadav has become the first Indian to take two hat-tricks in international cricket. The 25-year-old, who took his first ODI hat-trick against Australia on September 21, 2017, took the wickets of West Indies' Shai Hope, Jason Holder and Alzarri Joseph to claim his second ODI hat-trick today. It was the fifth ODI hat-trick by an Indian bowler.",sports,"Kuldeep Yadav becomes first Indian to take two hat-tricks in international cricket. India Chinaman Kuldeep Yadav has become the first Indian to take two hat-tricks in international cricket. The 25-year-old, who took his first ODI hat-trick against Australia on September 21, 2017, took the wickets of West Indies' Shai Hope, Jason Holder and Alzarri Joseph to claim his second ODI hat-trick today. It was the fifth ODI hat-trick by an Indian bowler.",kuldeep yadav become first indian take two hat trick international cricket india chinaman kuldeep yadav become first indian take two hat trick international cricket year old take first odi hat trick australia september take wicket west indie shai hope jason holder alzarri joseph claim second odi hat trick today fifth odi hat trick indian bowler
Rohit Sharma smashes 10 hundreds in a year for the first time in his career,India opener Rohit Sharma smashed his 28th ODI hundred in the second ODI against West Indies on Wednesday. The hundred is the 32-year-old batsman's tenth international hundred across formats this year. This is the first time that Rohit has slammed 10 international hundreds in a year. Rohit has jumped to the joint-fourth position in the list of most ODI hundreds.,sports,Rohit Sharma smashes 10 hundreds in a year for the first time in his career. India opener Rohit Sharma smashed his 28th ODI hundred in the second ODI against West Indies on Wednesday. The hundred is the 32-year-old batsman's tenth international hundred across formats this year. This is the first time that Rohit has slammed 10 international hundreds in a year. Rohit has jumped to the joint-fourth position in the list of most ODI hundreds.,rohit sharma smash hundred year first time career india opener rohit sharma smash th odi hundred second odi west indie wednesday hundred year old batsman tenth international hundred across format year first time rohit slam international hundred year rohit jump joint fourth position list odi hundred
Both captains get out for a golden duck in an ODI for the first time in history,"The India-West Indies ODI in Visakhapatnam marked the first instance of both the captains getting out for a golden duck in an ODI. Team India captain Virat Kohli was caught by Roston Chase off West Indies captain Kieron Pollard's bowling, while Pollard was caught behind by Rishabh Pant for a first-ball duck off fast bowler Mohammad Shami's bowling.",sports,"Both captains get out for a golden duck in an ODI for the first time in history. The India-West Indies ODI in Visakhapatnam marked the first instance of both the captains getting out for a golden duck in an ODI. Team India captain Virat Kohli was caught by Roston Chase off West Indies captain Kieron Pollard's bowling, while Pollard was caught behind by Rishabh Pant for a first-ball duck off fast bowler Mohammad Shami's bowling.",captain get golden duck odi first time history india west indie odi visakhapatnam mark first instance captain get golden duck odi team india captain virat kohli catch roston chase west indie captain kieron pollard bowling pollard catch behind rishabh pant first ball duck fast bowler mohammad shami bowling
Please keep Sana out of all this: Ganguly after she posts book excerpt over CAA,"After his daughter Sana Ganguly took to Instagram to share an excerpt from Khuswant Singh's novel 'The End of India' amid anti-CAA protests across India, BCCI President Sourav Ganguly tweeted, ""Please keep Sana out of all these issues."" He added, ""This post is not true...she is too young a girl to know about anything in politics.""",sports,"Please keep Sana out of all this: Ganguly after she posts book excerpt over CAA. After his daughter Sana Ganguly took to Instagram to share an excerpt from Khuswant Singh's novel 'The End of India' amid anti-CAA protests across India, BCCI President Sourav Ganguly tweeted, ""Please keep Sana out of all these issues."" He added, ""This post is not true...she is too young a girl to know about anything in politics.""",please keep sana ganguly post book excerpt caa daughter sana ganguly take instagram share excerpt khuswant singh novel end india amid anti caa protest across india bcci president sourav ganguly tweet please keep sana issue add post not true young girl know anything politic
"I want fair Olympic trials, which should be televised live: Boxer Nikhat Zareen","Boxer Nikhat Zareen, one of the four challengers for the lone Olympic qualifying spot, has expressed concerns over the fairness of the selection trials, to be held in New Delhi on December 27 and 28. ""I want the trials to be televised live on TV and not in close doors so...people can know what happened in the bout,"" she said.",sports,"I want fair Olympic trials, which should be televised live: Boxer Nikhat Zareen. Boxer Nikhat Zareen, one of the four challengers for the lone Olympic qualifying spot, has expressed concerns over the fairness of the selection trials, to be held in New Delhi on December 27 and 28. ""I want the trials to be televised live on TV and not in close doors so...people can know what happened in the bout,"" she said.",want fair olympic trial televise live boxer nikhat zareen boxer nikhat zareen one four challenger lone olympic qualifying spot express concern fairness selection trial hold new delhi december want trial televise live tv not close door people know happen bout say
Rohit Sharma has hit India's highest ODI score each year since 2013,"Rohit Sharma has hit highest yearly individual ODI score for India each time for last seven years. His 159(138) against West Indies today is the highest ODI score by an Indian this year, while his 162(137) was India's best in 2018. Rohit's 209(158), 264(173), 150(133), 171*(163) and 208*(153) were India's highest scores in 2013, 2014, 2015, 2016 and 2017, respectively.

",sports,"Rohit Sharma has hit India's highest ODI score each year since 2013. Rohit Sharma has hit highest yearly individual ODI score for India each time for last seven years. His 159(138) against West Indies today is the highest ODI score by an Indian this year, while his 162(137) was India's best in 2018. Rohit's 209(158), 264(173), 150(133), 171*(163) and 208*(153) were India's highest scores in 2013, 2014, 2015, 2016 and 2017, respectively.

",rohit sharma hit india high odi score year since rohit sharma hit high yearly individual odi score india time last seven year west indie today high odi score indian year india good rohit india high score respectively
I don't need permission in my own country to say what I feel: Irfan Pathan,"Responding to criticism over his tweet supporting Jamia Millia Islamia students amid anti-CAA protests, all-rounder Irfan Pathan said, ""I don't need anyone's permission in my own country to say what I feel."" ""I've represented my country. Some people should realise that. When I ran into bowl for India, I didn't think I'm a Muslim. I'm an Indian first,"" he added.",sports,"I don't need permission in my own country to say what I feel: Irfan Pathan. Responding to criticism over his tweet supporting Jamia Millia Islamia students amid anti-CAA protests, all-rounder Irfan Pathan said, ""I don't need anyone's permission in my own country to say what I feel."" ""I've represented my country. Some people should realise that. When I ran into bowl for India, I didn't think I'm a Muslim. I'm an Indian first,"" he added.",not need permission country say feel irfan pathan respond criticism tweet support jamia millia islamia student amid anti caa protest rounder irfan pathan say not need anyone permission country say feel represent country people realise run bowl india not think muslim indian first add
